OBJECTID,CALL_TYPE_FINAL,LOCATION,CURR_DGROUP,callCreatedDateTime,NEIGHBORHOOD,MAP_PAGE,x,y
112,Vehicle Theft,5100 BLK OF LYTLE ST,4,2023-09-27T12:23:00,HAZELWOOD,5629,-79.94534815,40.40606571
113,Theft from Vehicle,3800 BLK OF BIGELOW BLVD,4,2023-09-27T12:10:00,NORTH OAKLAND,507,-79.955086,40.456852
114,Theft from Vehicle,4500 BLK OF PENN AVE,5,2023-09-27T12:00:00,BLOOMFIELD,903,-79.95070296,40.46590296
115,Burglary,900 BLK OF BROOKLINE BLVD,6,2023-09-27T09:50:00,BROOKLINE,1918,-80.01845471,40.39228752
116,Theft,900 BLK OF BROOKLINE BLVD,6,2023-09-27T09:50:00,BROOKLINE,1918,-80.01845471,40.39228752
117,Robbery,SHELL GAS  5TH ,2,2023-09-27T07:40:00,CRAWFORD-ROBERTS,305,-79.983658,40.438647
118,Vehicle Theft,SHELL GAS  5TH ,2,2023-09-27T07:40:00,CRAWFORD-ROBERTS,305,-79.983658,40.438647
119,Theft,400 BLK OF FORT PITT BLVD,2,2023-09-27T02:41:00,CENTRAL BUSINESS DISTRICT,201,-79.999665,40.436557
120,Robbery,800 BLK OF E WARRINGTON AVE,3,2023-09-27T02:31:00,ALLENTOWN,1803,-79.99386151,40.42159995
121,Theft,800 BLK OF E WARRINGTON AVE,3,2023-09-27T02:31:00,ALLENTOWN,1803,-79.99386151,40.42159995
122,Shooting (Non Fatal),1100 BLK OF WOODLAND AVE,1,2023-09-27T02:31:00,MARSHALL-SHADELAND,2715,-80.02607753,40.46970159
123,Theft,2300 BLK OF JANE ST,3,2023-09-27T01:47:00,SOUTH SIDE FLATS,1609,-79.9722719,40.42659848
124,Theft,1700 BLK OF MURRAY AVE,4,2023-09-27T01:00:00,SQUIRREL HILL SOUTH,1413,-79.92315141,40.43791694
125,Theft from Vehicle,100 BLK OF JUCUNDA ST,3,2023-09-27T00:51:00,KNOXVILLE,3001,-79.98850413,40.41752492
126,Theft,300 BLK OF GRANT ST,2,2023-09-27T00:04:00,CENTRAL BUSINESS DISTRICT,201,-79.99860687,40.43799911
127,Theft,FREDONIA WAY & ERNIE ST,6,2023-09-26T22:58:00,ELLIOTT,5626,-80.0403981,40.44319914
128,Theft,2000 BLK OF WHARTON ST,3,2023-09-26T22:21:00,SOUTH SIDE FLATS,1702,-79.97660708,40.43113193
129,Theft,3300 BLK OF PENN AVE,2,2023-09-26T22:13:00,LOWER LAWRENCEVILLE,603,-79.96841467,40.46165968
130,Theft,3000 BLK OF WADLOW ST,1,2023-09-26T21:10:00,MARSHALL-SHADELAND,2715,-80.02956133,40.47309937
131,Theft,6400 BLK OF PENN AVE,5,2023-09-26T20:01:00,EAST LIBERTY,1115,-79.91732668,40.45911048
132,Theft,200 BLK OF N SHORE DR,1,2023-09-26T20:00:00,NORTH SHORE,2205,-80.007555,40.44636
133,Theft,1900 BLK OF LARKINS WAY,3,2023-09-26T19:47:00,SOUTH SIDE FLATS,1702,-79.97878185,40.42738142
134,Theft,300 BLK OF FORT DUQUESNE BLVD,2,2023-09-26T19:47:00,CENTRAL BUSINESS DISTRICT,201,-80.00720459,40.44251116
135,Theft,1500 BLK OF LETORT ST,1,2023-09-26T19:00:00,BRIGHTON HEIGHTS,2703,-80.03733917,40.4799931
136,Theft,400 BLK OF N HIGHLAND AVE,5,2023-09-26T19:00:00,EAST LIBERTY,1115,-79.92217164,40.46515781
137,Theft,7TH AVE & SMITHFIELD ST ,2,2023-09-26T17:45:00,CENTRAL BUSINESS DISTRICT,201,-79.996841,40.44283
138,Vehicle Theft,6400 BLK OF MEADOW ST,5,2023-09-26T17:05:00,LARIMER,1204,-79.91190654,40.46318214
139,Theft,1900 BLK OF CROFT ST,1,2023-09-26T17:00:00,TROY HILL,2406,-79.97800867,40.4696143
140,Theft from Vehicle,3800 BLK OF HAVEN ST,6,2023-09-26T16:53:00,WINDGAP,5630,-80.07924145,40.45966591
141,Theft,1100 BLK OF BLACKADORE ST,5,2023-09-26T16:23:00,HOMEWOOD NORTH,1301,-79.88337679,40.45949519
142,Robbery,1100 BLK OF BLACKADORE ST,5,2023-09-26T16:23:00,HOMEWOOD NORTH,1301,-79.88337679,40.45949519
143,Burglary,1100 BLK OF BLACKADORE ST,5,2023-09-26T16:23:00,HOMEWOOD NORTH,1301,-79.88337679,40.45949519
144,Theft from Vehicle,5500 BLK OF AVONDALE PL,5,2023-09-26T16:00:00,HIGHLAND PARK,1102,-79.92781473,40.47383688
145,Theft,600 BLK OF SMITHFIELD ST,2,2023-09-26T15:10:00,CENTRAL BUSINESS DISTRICT,201,-79.99794346,40.44197665
146,Vehicle Theft,<100 BLK OF BRIGGS ST,3,2023-09-26T10:45:00,OVERBROOK,3207,-79.99855218,40.38562638
147,Theft from Vehicle,500 BLK OF FISHER ST,3,2023-09-26T09:53:00,MT. OLIVER,5617,-79.97894398,40.41113393
148,Burglary,1600 BLK OF CRUCIBLE ST,6,2023-09-26T04:30:00,CRAFTON HEIGHTS,2814,-80.05478951,40.44606946
149,Theft,1600 BLK OF CRUCIBLE ST,6,2023-09-26T04:30:00,CRAFTON HEIGHTS,2814,-80.05478951,40.44606946
150,Theft from Vehicle,DINWIDDIE ST & 5TH AVE,2,2023-09-26T03:59:00,BLUFF,103,-79.98077519,40.43835954
151,Shooting (Non Fatal),2300 BLK OF BEDFORD AVE,2,2023-09-26T03:02:00,MIDDLE HILL,501,-79.97557034,40.44924553
152,Theft from Vehicle,JANE ST & S 22ND ST,3,2023-09-26T02:55:00,SOUTH SIDE FLATS,1609,-79.9748165,40.42660882
153,Theft,2700 BLK OF BRIGHTON RD,1,2023-09-26T01:00:00,MARSHALL-SHADELAND,2715,-80.02577002,40.46966645
154,Theft,6000 BLK OF CENTRE AVE,4,2023-09-26T00:50:00,SHADYSIDE,705,-79.9265974,40.45919142
155,Theft,4000 BLK OF BUTLER ST,2,2023-09-26T00:34:00,CENTRAL LAWRENCEVILLE,902,-79.96167739,40.46869308
156,Theft,800 BLK OF PENNSYLVANIA AVE,1,2023-09-26T00:05:00,CALIFORNIA-KIRKBRIDE,2507,-80.01579434,40.45641523
157,Theft,6200 BLK OF HAMPTON ST,5,2023-09-25T22:45:00,HIGHLAND PARK,1106,-79.91582449,40.47298136
158,Arson,200 BLK OF JUCUNDA ST,3,2023-09-25T22:19:00,KNOXVILLE,3001,-79.99218167,40.41747474
159,Theft,4300 BLK OF BUTLER ST,2,2023-09-25T21:55:00,CENTRAL LAWRENCEVILLE,901,-79.96025469,40.47124784
160,Theft,4200 BLK OF BUTLER ST,2,2023-09-25T21:45:00,CENTRAL LAWRENCEVILLE,901,-79.96057305,40.47067144
161,Theft,4100 BLK OF PENN AVE,2,2023-09-25T21:26:00,CENTRAL LAWRENCEVILLE,902,-79.95548618,40.46573364
162,Theft,100 BLK OF 11TH ST,2,2023-09-25T20:55:00,CENTRAL BUSINESS DISTRICT,201,-79.99325514,40.44469886
163,Theft,200 BLK OF HILLSIDE DR,2,2023-09-25T20:20:00,CRAWFORD-ROBERTS,305,-79.98434526,40.44535501
164,Theft,2000 BLK OF WHARTON ST,3,2023-09-25T20:05:00,SOUTH SIDE FLATS,1702,-79.97660708,40.43113193
165,Theft,4400 BLK OF LIBERTY AVE,5,2023-09-25T19:40:00,BLOOMFIELD,903,-79.95206303,40.46413098
166,Theft,1600 BLK OF SMALLMAN ST,3,2023-09-25T19:40:00,SOUTH SIDE FLATS,1609,-79.974515,40.428235
167,Aggravated Assault,4300 BLK OF BRISTOL ST,4,2023-09-25T19:23:00,HAZELWOOD,5629,-79.94554912,40.42030352
168,Theft,500 BLK OF RUXTON ST,3,2023-09-25T18:37:00,MOUNT WASHINGTON,1807,-79.99867739,40.42483543
169,Aggravated Assault,700 BLK OF LENORA ST,5,2023-09-25T17:46:00,LARIMER,1204,-79.91080221,40.46800795
170,Theft,1400 BLK OF LINCOLN AVE,5,2023-09-25T17:30:00,LINCOLN-LEMINGTON-BELMAR,1203,-79.89699806,40.46810039
171,Theft,300 BLK OF CEDAR AVE,1,2023-09-25T17:18:00,EAST ALLEGHENY,5632,-79.99967238,40.45150127
172,Theft,100 BLK OF SHERIDAN AVE,5,2023-09-25T17:05:00,EAST LIBERTY,1115,-79.923275,40.461923
173,Theft,200 BLK OF 5TH AVE,2,2023-09-25T17:00:00,CENTRAL BUSINESS DISTRICT,201,-80.00101805,40.44079126
174,Theft from Vehicle,2400 BLK OF WOODMERE DR,6,2023-09-25T16:16:00,FAIRYWOOD,5630,-80.08161533,40.44098432
175,Vehicle Theft,2300 BLK OF BALTIC WAY,3,2023-09-25T16:02:00,SOUTH SIDE SLOPES,1608,-79.97411884,40.41853149
176,Theft from Vehicle,100 BLK OF S 19TH ST,3,2023-09-25T16:00:00,SOUTH SIDE FLATS,1702,-79.97908483,40.42697056
177,Theft,600 BLK OF GRANT ST,2,2023-09-25T15:37:00,CENTRAL BUSINESS DISTRICT,201,-79.99485274,40.441355
178,Theft from Vehicle,300 BLK OF BIRMINGHAM AVE,3,2023-09-25T14:20:00,CARRICK,2902,-79.98310999,40.40349239
179,Robbery,4700 BLK OF CENTRE AVE,5,2023-09-25T13:00:00,BLOOMFIELD,804,-79.94909187,40.45343099
180,Vehicle Theft,100 BLK OF LINNVIEW AVE,3,2023-09-25T13:00:00,CARRICK,2902,-79.98814591,40.40346355
181,Theft,100 BLK OF 6TH ST,2,2023-09-25T12:44:00,CENTRAL BUSINESS DISTRICT,201,-80.00226045,40.44381609
182,Theft,100 BLK OF 6TH ST,2,2023-09-25T12:44:00,CENTRAL BUSINESS DISTRICT,201,-80.00226045,40.44381609
183,Theft,200 BLK OF SHILOH ST,3,2023-09-25T12:14:00,MOUNT WASHINGTON,1914,-80.00751139,40.4297708
184,Theft from Vehicle,200 BLK OF MILLBRIDGE ST,3,2023-09-25T11:45:00,ALLENTOWN,1803,-79.99558943,40.42050262
185,Theft from Vehicle,200 BLK OF THE BOULEVARD,3,2023-09-25T11:16:00,CARRICK,2902,-79.98438547,40.40185423
186,Theft,<100 BLK OF BAILEY AVE,3,2023-09-25T10:00:00,MOUNT WASHINGTON,1807,-80.00492054,40.42669299
187,Burglary,1400 BLK OF CRAFTON BLVD,6,2023-09-25T09:12:00,CRAFTON HEIGHTS,2815,-80.05635072,40.43785532
188,Theft,200 BLK OF SOUTHERN AVE,3,2023-09-25T06:40:00,MOUNT WASHINGTON,1915,-80.01095562,40.42362918
189,Theft,3400 BLK OF BETHOVEN ST,2,2023-09-25T03:00:00,POLISH HILL,605,-79.963907,40.45704
190,Burglary,1200 BLK OF CHARTIERS AVE,6,2023-09-25T02:20:00,CRAFTON HEIGHTS,2814,-80.04322671,40.44548352
191,Shooting (Non Fatal),3100 BLK OF PERRYSVILLE AVE,1,2023-09-25T01:29:00,PERRY NORTH,2607,-80.0123305,40.47849189
192,Vehicle Theft,200 BLK OF MOREWOOD AVE,5,2023-09-25T00:32:00,BLOOMFIELD,804,-79.94593142,40.45537966
